timestamp_open,timestamp_close,duration_sec,symbol,side,entry_price,exit_price,qty,notional_entry,pnl_usdt,pnl_pct,result,confidence,bucket,score,ev,regime,agreement,adx,atr,spread_bps,funding_rate,exit_reason,strategy_id
1778346077.7087188,1778346119.884208,42.1754891872406,COREUSDT,short,0.04381,0.04372,600000.0,26286.0,8.3717,0.0318,WIN,0.5634,0.55-0.60,0.4793,-0.001868,chop,3,0.0,0.00164,9.13,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
1778346082.8218465,1778346120.226749,37.40490245819092,JASMYUSDT,long,0.006725,0.006723,1490090.0,10020.8553,-14.001482,-0.1397,LOSS,0.0,<0.55,0.0,0.0,,0,0.0,2.69e-05,0.0,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
1778346066.5111375,1778346125.4275277,58.91639018058777,COREUSDT,short,0.04381,0.04372,400000.0,17524.0,8.3717,0.0478,WIN,0.0,<0.55,0.0,0.0,,0,0.0,0.00017536,0.0,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
1778346092.3127882,1778346125.7334642,33.4206759929657,OPENUSDT,short,0.19391,0.19376,50000.0,9695.5,-13.82185,-0.1426,LOSS,0.0,<0.55,0.0,0.0,,0,0.0,0.00077564,0.0,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
1778346092.314716,1778346126.0466025,33.73188638687134,JASMYUSDT,long,0.006725,0.006723,1490090.0,10020.8553,-14.001482,-0.1397,LOSS,0.0,<0.55,0.0,0.0,,0,0.0,2.69e-05,0.0,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
1778346069.4278734,1778346131.6380157,62.210142374038696,JASMYUSDT,long,0.006725,0.006723,1490090.0,10020.8553,-14.001482,-0.1397,LOSS,0.8122,0.75+,0.7271,-0.001622,trend,3,0.0,0.00011364,4.48,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
1778346070.7158613,1778346132.0385358,61.32267451286316,COREUSDT,short,0.04381,0.04372,400000.0,17524.0,8.3717,0.0478,WIN,0.572,0.55-0.60,0.4552,-0.002993,chop,3,0.0,0.00164,9.14,0.0,tp1_full_pnl,v8_stats_collection_percentage_tp_sl_2026-05-09
1778346095.7911184,1778346132.4414532,36.65033483505249,OPENUSDT,short,0.19391,0.19376,50000.0,9695.5,-13.82185,-0.1426,LOSS,0.0,<0.55,0.0,0.0,,0,0.0,0.00077564,0.0,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
1778344825.7775164,1778346195.5375478,1369.7600314617157,ONDOUSDT,long,0.42159982,0.4223,118577.0,49992.0419,27.98829,0.056,WIN,0.7656,0.75+,0.6636,0.001072,chop,3,0.0,0.00978571,2.37,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
1778344446.9132178,1778346201.002809,1754.0895912647247,ONDOUSDT,long,0.42159982,0.4223,118577.0,49992.0419,27.98829,0.056,WIN,0.0,<0.55,0.0,0.0,,0,0.0,0.0016876,0.0,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
